scan_name;Neighbour;Focal;Repetition;Pot;Type;Tray;Tray_Number;Tray_Position;Batch 
Soi_LGA_2_Soi_1;LGAbsalon;Soissons;2;Soi_LGA_2;Mix;1_D2;1;D2;LM1_1_1
Soi_LGA_2_LGA_2;Soissons;LGAbsalon;2;Soi_LGA_2;Mix;1_D2;1;D2;LM1_1_1
Soi_LGA_4_Soi_1;LGAbsalon;Soissons;4;Soi_LGA_4;Mix;1_D2;1;D2;LM1_1_1
Soi_LGA_4_LGA_2;Soissons;LGAbsalon;4;Soi_LGA_4;Mix;1_D2;1;D2;LM1_1_1
Soi_Ber_3_Soi_1;Bergamo;Soissons;3;Soi_Ber_3;Mix;1_D2;1;D2;LM1_1_1
Soi_Ber_3_Ber_2;Soissons;Bergamo;3;Soi_Ber_3;Mix;1_D2;1;D2;LM1_1_1
Soi_Gha_2_Soi_1;Ghayta;Soissons;2;Soi_Gha_2;Mix;1_D2;1;D2;LM1_1_1
Soi_Gha_2_Gha_2;Soissons;Ghayta;2;Soi_Gha_2;Mix;1_D2;1;D2;LM1_1_1
Soi_Gha_3_Soi_1;Ghayta;Soissons;3;Soi_Gha_3;Mix;1_D2;1;D2;LM1_1_1
Soi_Gha_3_Gha_2;Soissons;Ghayta;3;Soi_Gha_3;Mix;1_D2;1;D2;LM1_1_1
Soi_Fru_1_Soi_1;Fructidor;Soissons;1;Soi_Fru_1;Mix;1_D2;1;D2;LM1_1_1
Soi_Fru_1_Fru_2;Soissons;Fructidor;1;Soi_Fru_1;Mix;1_D2;1;D2;LM1_1_1
Soi_Bob_4_Soi_1;Bobwhite ;Soissons;4;Soi_Bob_4;Mix;1_D2;1;D2;LM1_1_1
Soi_Bob_4_Bob_2;Soissons;Bobwhite ;4;Soi_Bob_4;Mix;1_D2;1;D2;LM1_1_1
Soi_SYM_1_Soi_1;SYMattis;Soissons;1;Soi_SYM_1;Mix;1_D2;1;D2;LM1_1_1
Soi_SYM_1_SYM_2;Soissons;SYMattis;1;Soi_SYM_1;Mix;1_D2;1;D2;LM1_1_1
Soi_Apa_2_Soi_1;Apache;Soissons;2;Soi_Apa_2;Mix;1_D2;1;D2;LM1_1_1
Soi_Apa_2_Apa_2;Soissons;Apache;2;Soi_Apa_2;Mix;1_D2;1;D2;LM1_1_1
Soi_Acc_4_Soi_1;Accroc;Soissons;4;Soi_Acc_4;Mix;1_D2;1;D2;LM1_1_1
Soi_Acc_4_Acc_2;Soissons;Accroc;4;Soi_Acc_4;Mix;1_D2;1;D2;LM1_1_1
